French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
